ID,FEMALE,MALE,BYEAR,AGE,AGEMBTH,HHINC97,POVRAT97,HHBMBF,HHBMOF,HHOMBF,HHBMONLY,HHBFONLY,HHOTHER,MSA97NO,MSA97NCC,MSA97CC,MSA97NK,ETHBLACK,ETHHISP,ETHWHITE,S,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCGED,EDUCDO,PRMONM,PRMONF,PRMSTYUN,PRMSTYPE,PRMSTYAN,PRMSTYAE,PRFSTYUN,PRFSTYPE,PRFSTYAN,PRFSTYAE,SINGLE,MARRIED,COHABIT,OTHSING,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,FAITHM,ASVABAR,ASVABWK,ASVABPC,ASVABMK,ASVABNO,ASVABCS,ASVABC,ASVABC4,VERBAL,ASVABMV,HEIGHT,WEIGHT04,WEIGHT11,SF,SM,SFR,SMR,SIBLINGS,REG97NE,REG97NC,REG97S,REG97W,RS97RURL,RS97URBN,RS97UNKN,JOBS,EARNINGS,HOURS,TENURE,CATGOV,CATPRI,CATNPO,CATMIS,CATSE,COLLBARG,URBAN,REGNE,REGNC,REGW,REGS,MSA11NO,MSA11NCC,MSA11CC,MSA11NK,MSA11NIC,EXP
5321,0,1,1980,31,29,,,0,1,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,.3689815,1.482954,.9573677,-.4363596,-.8101243,.1909199,.8729023,.663394,1.300975,74601,71,158,160,14,14,12,14,6,0,1,0,0,1,0,0,18,12,41,.2884615,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,11.25
3247,0,1,1981,30,30,67300,351,1,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,0,0,1,0,0,0,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,-.1779017,.136323,-.1471993,-.5605407,-1.355562,.6452369,-.1012036,-.2103114,-.0061922,33802,68,145,183,15,13,15,13,4,0,1,0,0,0,1,0,10,10.25,40,2.461539,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.576923
688,0,1,1982,29,26,,,0,1,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,1,0,0,14,11,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1.040635,-1.771466,-1.175632,-.60442,.1080425,.2872121,-1.38217,-1.285655,-1.572012,13401,71,197,215,14,7,5,7,7,0,1,0,0,0,1,0,2,30,40,6.865385,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,5.980769
4668,0,1,1982,29,17,38000,203,1,0,0,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,1,0,0,,8,,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-.1444847,-.0811027,-.3716126,-.4093558,-.8193055,-1.057707,-.2042496,-.2822942,-.2418148,34426,67,215,210,10,14,10,14,2,0,0,0,1,0,1,0,10,20.93,20,.2884615,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,8.711538
1323,0,1,1984,27,33,81265,368,1,0,0,0,0,0,0,1,0,0,0,1,0,14,0,0,0,0,0,1,0,0,13,13,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.8731176,.9319108,1.177299,1.068231,-.3575093,1.052539,1.058977,1.132843,1.124401,94021,70,135,147,13,14,13,14,3,0,1,0,0,1,0,0,3,8.5,40,.4807692,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11.15385
3643,0,1,1984,27,34,72000,453,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,4,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,.4404931,.6996993,.9370941,.750192,-.5151172,.7018943,.691405,.790587,.8724723,85931,68,150,150,12,15,12,15,1,0,0,1,0,0,1,0,5,15.8,55,1.326923,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4.442307
5986,0,1,1981,30,18,39000,166,1,0,0,0,0,0,0,1,0,0,1,0,0,15,0,0,0,0,0,1,0,0,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,-.0276553,-1.274021,-1.056865,-.4471066,1.174738,1.186633,-.656138,-.7857357,-1.2434,24651,66,145,150,8,12,8,12,4,0,0,1,0,1,0,0,10,11.5,40,.75,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7.75
89,0,1,1981,30,15,,,1,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,1,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,.0586565,.2751946,1.023801,1.233202,.6982875,.4850311,.3887363,.724372,.6923323,78892,71,200,195,6,6,6,6,5,1,0,0,0,0,1,0,4,22.69,50,4.057693,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4.134615
4457,0,1,1983,28,26,87000,547,1,0,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,1,0,0,0,0,10,6,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,.6732056,.6724989,.5187013,.4292487,.7894612,1.252954,.6968544,.6412066,.6348477,76958,69,180,160,14,14,14,14,1,0,0,0,1,0,1,0,8,25.5,38,2.75,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2.711539
8907,0,1,1981,30,27,35000,187,1,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,-1.418234,-1.136287,-1.488345,-1.699122,-1.086342,-1.870369,-1.501078,-1.607414,-1.400048,9272,68,180,200,5,14,5,14,5,0,0,0,1,0,1,0,9,14.36,40,1.596154,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,10.13461
543,0,1,1983,28,40,43000,340,0,0,0,1,0,0,0,1,0,0,0,1,0,14,0,0,0,0,0,1,0,0,9,,1,0,0,0,,,,,1,0,0,0,0,1,0,0,0,0,.7659108,-.189188,-.6445142,.8819247,.5853622,.7358692,.1913882,.2271909,-.4449863,61988,74,208,215,6,8,,8,6,0,0,0,1,0,1,0,2,8,20,7.269231,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5.75
3569,0,1,1982,29,31,60120,476,1,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,1,0,0,4,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,.1144507,-.074273,.079884,.5002368,.0237981,1.577898,.0639955,.1729499,.0026002,49333,72,200,230,14,12,14,12,1,0,0,1,0,1,0,0,2,14,40,9.576923,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.59615
3076,0,1,1982,29,30,99000,784,1,0,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,1,0,0,0,0,8,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.427242,.1659066,1.505546,1.204164,-.7535256,-.0992768,1.243218,1.203444,.8909553,85574,70,180,220,12,14,12,14,1,0,1,0,0,1,0,0,9,22.31,50,3.730769,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2
5549,0,1,1982,29,18,42500,203,1,0,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,8,7,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-2.568674,-1.474372,-1.570414,-2.424665,-1.702306,-2.664441,-2.24878,-2.249945,-1.624107,281,67,175,180,11,10,11,10,3,0,1,0,0,1,0,0,3,6.25,40,.7884616,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.480769
1377,0,1,1984,27,23,35500,223,1,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,1,0,0,12,9,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-1.665088,-1.37996,-2.008755,-1.677509,-.3453095,-.4781434,-1.846701,-1.884258,-1.807516,680,74,182,240,12,12,12,12,0,0,0,1,0,0,1,0,5,17,40,4.692307,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,9.365385
3851,0,1,1983,28,30,111100,698,1,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,1,0,0,12,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-.4978643,.9001573,-.109613,-.4708028,.8722218,.8362316,-.0568269,-.0504731,.4211871,49927,72,175,185,12,12,12,12,1,0,0,1,0,0,1,0,10,2.63,30,.9423077,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,7.807693
4848,0,1,1984,27,23,61000,383,0,0,0,1,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,7,,1,0,0,0,,,,,0,1,0,0,0,0,1,0,0,0,1.420825,.2409676,.5734502,.0918504,-.028445,.2281338,1.00419,.6505637,.4339183,64711,71,180,195,12,12,,12,1,1,0,0,0,1,0,0,1,47,40,7.75,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.730769
997,0,1,1980,31,35,63050,499,1,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,1,0,0,0,,,0,0,0,1,,,,,1,0,0,0,0,0,1,0,0,0,.8239831,-.0286982,-.1268914,1.203664,1.107549,1.121922,.4096388,.5232306,-.0833644,58719,71,205,255,12,13,12,13,1,0,0,0,1,0,1,0,7,26,40,.5961539,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,9.711538
3647,0,1,1984,27,27,64000,342,1,0,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,1,0,0,0,10,11,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,.9775442,.1942977,1.062757,.7682142,-1.551604,-1.138291,.8822062,.839651,.6699663,76262,70,155,155,14,14,14,14,2,0,0,1,0,0,1,0,3,20.67,40,5.019231,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
6410,0,1,1981,30,26,112500,890,0,0,0,0,1,0,1,0,0,0,0,0,1,15,0,0,0,0,0,1,0,0,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,.703331,.2592585,-1.1892,1.199277,1.150009,.7343787,.1305508,.2715533,-.4963087,60174,72,180,175,15,15,15,,2,0,0,0,1,0,1,0,14,2.13,35,4.134615,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9.711538
4268,0,1,1984,27,43,,,1,0,0,0,0,0,0,0,1,0,0,0,1,13,0,0,0,0,0,1,0,0,8,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.072627,-.7379634,-.767695,-.3671864,-1.918916,-1.096837,-1.003664,-.8248629,-.8033252,20743,71,162,200,13,9,13,9,2,0,0,1,0,0,1,0,9,8,37,.6730769,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2.076923
1817,0,1,1983,28,29,47015,251,1,0,0,0,0,0,0,1,0,0,0,0,1,18,0,0,0,1,0,0,0,0,14,6,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,.8543537,.2832032,.2451343,.5575246,1.098577,.1576944,.6142631,.5423035,.2813582,67046,74,275,310,16,16,16,16,2,0,1,0,0,0,1,0,10,15.09,45,4.326923,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3
4204,0,1,1984,27,21,61000,326,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,9,8,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,.2731974,.2819462,.5423125,.6282769,.4910348,1.436846,.376191,.4822845,.4391662,74215,74,165,180,12,12,12,12,2,0,0,1,0,0,1,0,3,16.83,40,3.25,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3.75
2593,0,1,1984,27,31,31045,195,1,0,0,0,0,0,0,1,0,0,0,0,1,18,0,0,0,1,0,0,0,0,16,16,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1.259922,1.090133,1.135041,1.286618,.6090759,.7935296,1.303419,1.334645,1.186242,97527,69,137,160,18,18,18,18,1,0,1,0,0,0,1,0,6,13,24,.9615384,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2.653846
956,0,1,1983,28,28,45018,356,0,0,0,0,1,0,0,1,0,0,0,0,1,17,0,0,0,1,0,0,0,0,,9,,,,,0,0,0,1,1,0,0,0,0,0,1,0,0,0,.8277143,1.127816,1.223748,.3900238,1.194032,.1710968,1.10062,.998172,1.253643,83262,70,150,180,17,16,17,,1,0,0,0,1,0,1,0,16,22.56,38,.9807692,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.230769
1456,0,1,1980,31,34,110000,669,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,.3380797,1.561496,.5737068,.8177757,.5297081,-.5895382,.7720772,.9203109,1.138262,80160,71,168,187,10,16,10,16,1,0,0,1,0,0,1,0,1,17.71,20,4.942307,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3.211539
3773,0,1,1984,27,25,62040,390,1,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,1,0,0,8,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.4596735,.5687957,-1.170261,-.8940716,-.2153983,.225017,.0869043,-.2904954,-.3211397,44338,72,243,219,12,11,12,11,2,0,0,1,0,0,1,0,,16.87,40,1.076923,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9.5
6134,0,1,1984,27,24,27800,257,0,0,0,0,1,0,1,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,,12,,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1.903531,1.276813,1.569857,1.321603,1.676886,.9069828,1.827906,1.698449,1.517672,96906,76,165,165,15,12,15,,2,0,0,1,0,1,0,0,2,17.69,50,7.038462,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,8.403846
5595,0,1,1980,31,22,,,1,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,1,0,0,0,0,,,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,.8591472,.4140974,.8873079,.0862852,2.22218,-.5939018,.8293254,.6281058,.6936175,77177,73,300,320,14,12,14,12,1,0,0,1,0,1,0,0,5,26,40,.6346154,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.384615
3053,0,1,1982,29,24,85000,534,0,1,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,1,0,0,12,6,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,.0696964,.7942437,.9428431,.0751242,-.6958239,.2451347,.5151849,.525987,.9259565,74425,67,132,140,18,12,12,12,2,0,1,0,0,0,1,0,2,11.5,40,.3653846,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.307693
3130,0,1,1984,27,30,87000,316,1,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0,0,0,0,1,0,9,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,.2220496,-.4294863,-.6420321,-1.275719,-.8792971,-.994293,-.172851,-.595322,-.5718083,28738,73,180,225,12,12,12,12,1,0,1,0,0,1,0,0,11,17,40,1.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.692307
3187,0,1,1983,28,25,102500,644,1,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,1,0,0,0,0,0,15,15,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.5783691,-.2449643,.2095484,.0433609,-.0519938,-.1034973,.3076783,.16344,-.0192785,58190,70,180,170,16,13,16,13,1,0,1,0,0,0,1,0,4,25,40,1.173077,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1.173077
729,0,1,1980,31,28,86800,452,1,0,0,0,0,0,0,1,0,0,1,0,0,16,0,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,.4670146,.7202979,-.0668401,.8527601,.5058031,.3617231,.4357738,.5515426,.3480819,69945,71,210,240,14,14,14,14,4,0,1,0,0,0,1,0,9,11.23,40,2.230769,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,7.076923
2637,0,1,1981,30,29,,,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,1.553662,1.794814,.7468975,1.62545,3.114668,1.856132,1.55183,1.600234,1.355045,92056,73,210,250,15,12,15,12,4,0,1,0,0,1,0,0,5,21.79,60,7.326923,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,8.211538
6377,0,1,1984,27,25,59000,307,1,0,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,9,7,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,.2636072,-.8552074,.0607903,.314478,-.8219252,-.0910312,-.0738687,-.0611652,-.4240366,44193,74,170,220,9,12,9,12,2,0,0,0,1,0,1,0,5,62.02,60,.4230769,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.807693
5282,0,1,1984,27,37,49100,227,1,0,0,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,14,10,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.04361,-.3839546,-.7376693,-.4710793,.3960744,-1.069409,.2648869,-.1542821,-.5985284,35417,69,205,208,15,12,15,12,7,0,1,0,0,1,0,0,2,12.32,40,7.692307,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9.673077
5630,0,1,1981,30,35,31292,248,1,0,0,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,-2.304795,.8010854,-.7110141,-1.060923,-1.409801,.2288264,-1.242345,-.9172559,.0476409,28405,87,390,380,12,12,12,12,3,0,0,1,0,1,0,0,3,12.15,40,9.884615,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,7.673077
1851,0,1,1982,29,22,60005,377,1,0,0,0,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-.2190751,-.5022708,-1.075547,-.3658904,-.2244839,-.7351133,-.5544046,-.6058425,-.8418061,22172,73,232,283,16,12,16,12,2,0,1,0,0,0,1,0,3,15.62,40,3.038461,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4.384615
1861,0,1,1981,30,25,66750,420,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,1.571777,.4186193,.6223467,1.943489,.5731574,.6617562,1.149402,1.274346,.5547312,80370,68,180,185,14,12,14,12,1,0,1,0,0,0,1,0,9,22.44,18,2.519231,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,8.692307
5150,0,1,1983,28,24,30040,189,1,0,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,5,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,.5805003,.9695931,1.405014,-.0213071,.77891,.000917,.9710896,.820339,1.265931,77293,71,163,196,14,12,14,12,1,0,1,0,0,0,1,0,3,26,40,5.596154,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8.769231
202,0,1,1982,29,,,,1,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,.1315,-.7583864,-.3571559,.3878629,.5266268,-.5399987,-.2347117,-.1674583,-.5952852,39048,74,195,185,12,12,12,12,1,1,0,0,0,0,1,0,10,23,40,.6538461,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,10.69231
5804,0,1,1983,28,34,720,7,0,0,0,1,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,1,0,0,12,,0,1,0,0,,,,,1,0,0,0,0,1,0,0,0,0,-2.349838,-2.215348,-2.045711,-1.638007,-3.580697,-1.068161,-2.462728,-2.308927,-2.272717,1433,66,183,183,12,14,,14,0,0,0,1,0,1,0,0,,15,40,2.307692,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7.865385
3194,0,1,1983,28,34,59000,315,1,0,0,0,0,0,0,0,1,0,0,0,1,20,1,0,0,0,0,0,0,0,11,10,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.69616,.6850201,.788932,1.048365,.112868,.1611229,1.336738,1.179832,.7856328,88323,74,177,188,14,17,14,17,2,0,1,0,0,0,1,0,7,13.74,70,1.230769,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.230769
1914,0,1,1980,31,25,54750,506,0,0,0,1,0,0,0,1,0,0,0,1,0,14,0,0,0,0,1,0,0,0,,,0,1,0,0,,,,,0,1,0,0,0,0,1,0,0,0,.6843925,.7521701,.9028767,.8941052,.551305,.0073377,.830461,.9042168,.8822064,85375,74,390,340,12,14,,14,2,0,0,0,1,0,1,0,6,9,24,9.5,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.807693
5379,0,1,1982,29,23,17200,136,0,0,0,1,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,1,0,0,7,,0,0,1,0,,,,,1,0,0,0,0,1,0,0,0,0,.5918295,.705457,.2289001,.0793647,-.0355522,-.544674,.5815557,.4486541,.4978791,73444,72,185,226,12,16,,16,1,0,1,0,0,0,1,0,6,12,20,1.75,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,9.615385
